istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
300520299;10000000;2019-03-25;2019-03-29;2019-03-18 03:00:33
300520299;10000108;2019-03-29;2019-03-29;2019-03-18 03:00:33
300520299;10000079;2019-03-22;2019-03-22;2019-03-18 03:00:33
300520299;10000079;2019-03-25;2019-04-05;2019-03-18 03:00:33
300520299;10000010;2019-03-25;2019-03-29;2019-03-18 03:00:33
300520299;10000079;2019-03-20;2019-03-20;2019-03-18 03:00:33
300520299;10000002;2019-03-22;2019-03-22;2019-03-18 03:00:33
300520299;10000007;2019-03-29;2019-03-29;2019-03-18 03:00:33
300520299;10000008;2019-03-28;2019-03-28;2019-03-18 03:00:33
300520299;10000000;2019-03-21;2019-03-21;2019-03-18 03:00:33
