istaigos_kodas;gydytojo_ID;iraso_sukurimo_data
300520299;10000000;2019-03-14 03:00:37
300520299;10000002;2019-03-14 03:00:37
300520299;10000003;2019-03-14 03:00:37
300520299;10000004;2019-03-14 03:00:37
300520299;10000005;2019-03-14 03:00:37
300520299;10000006;2019-03-14 03:00:37
300520299;10000007;2019-03-14 03:00:37
300520299;10000008;2019-03-14 03:00:37
300520299;10000010;2019-03-14 03:00:37
300520299;10000012;2019-03-14 03:00:37
300520299;10000013;2019-03-14 03:00:37
300520299;10000062;2019-03-14 03:00:37
300520299;10000063;2019-03-14 03:00:37
300520299;10000064;2019-03-14 03:00:37
300520299;10000077;2019-03-14 03:00:37
300520299;10000079;2019-03-14 03:00:37
300520299;10000092;2019-03-14 03:00:37
300520299;10000108;2019-03-14 03:00:37
300520299;10000110;2019-03-14 03:00:37
