istaigos_kodas;gydytojo ID;laisvos_registracijos data;iraso_sukurimo_data
124244754;1212;2019-03-18 14:15:00;2019-03-14 15:06:17
124244754;1105;2019-03-15 18:45:00;2019-03-14 15:06:17
124244754;1312;2019-03-18 11:45:00;2019-03-14 15:06:17
124244754;133;2019-03-19 16:30:00;2019-03-14 15:06:17
124244754;1302;2019-03-26 09:15:00;2019-03-14 15:06:18
124244754;307;2019-03-21 09:15:00;2019-03-14 15:06:18
124244754;1208;2019-03-15 08:00:00;2019-03-14 15:06:18
124244754;1116;2019-03-18 14:15:00;2019-03-14 15:06:19
124244754;444;2019-03-20 09:15:00;2019-03-14 15:06:19
124244754;420;2019-03-19 09:00:00;2019-03-14 15:06:19
124244754;460;2019-03-19 09:45:00;2019-03-14 15:06:19
124244754;306;2019-03-22 09:15:00;2019-03-14 15:06:20
124244754;1121;2019-03-15 14:30:00;2019-03-14 15:06:20
124244754;1403;2019-03-21 08:15:00;2019-03-14 15:06:20
124244754;1119;2019-03-18 07:45:00;2019-03-14 15:06:20
124244754;127;2019-03-21 16:45:00;2019-03-14 15:06:21
124244754;129;2019-03-19 14:30:00;2019-03-14 15:06:21
124244754;206;2019-03-14 18:15:00;2019-03-14 15:06:21
124244754;448;2019-03-21 08:15:00;2019-03-14 15:06:21
124244754;308;2019-03-19 09:30:00;2019-03-14 15:06:22
124244754;304;2019-04-03 14:30:00;2019-03-14 15:06:22
124244754;107;2019-03-19 16:45:00;2019-03-14 15:06:22
124244754;1415;2019-03-19 16:45:00;2019-03-14 15:06:22
124244754;1120;2019-03-18 14:15:00;2019-03-14 15:06:23
124244754;130;2019-03-26 09:45:00;2019-03-14 15:06:23
124244754;128;2019-03-18 16:00:00;2019-03-14 15:06:23
124244754;404;2019-03-19 16:45:00;2019-03-14 15:06:23
124244754;126;2019-03-19 12:45:00;2019-03-14 15:06:23
124244754;1117;2019-03-15 14:30:00;2019-03-14 15:06:24
124244754;405;2019-03-19 15:30:00;2019-03-14 15:06:24
124244754;301;2019-03-19 09:15:00;2019-03-14 15:06:24
124244754;302;2019-03-18 09:45:00;2019-03-14 15:06:25
124244754;219;2019-03-20 19:15:00;2019-03-14 15:06:25
124244754;407;2019-03-26 09:45:00;2019-03-14 15:06:25
124244754;462;2019-03-21 14:30:00;2019-03-14 15:06:26
124244754;215;2019-03-19 09:30:00;2019-03-14 15:06:26
124244754;1122;2019-03-22 07:45:00;2019-03-14 15:06:26
124244754;213;2019-03-27 09:30:00;2019-03-14 15:06:27
124244754;208;2019-03-27 07:45:00;2019-03-14 15:06:27
124244754;118;2019-03-21 16:45:00;2019-03-14 15:06:27
124244754;1205;2019-03-19 09:30:00;2019-03-14 15:06:27
124244754;106;2019-03-22 12:45:00;2019-03-14 15:06:27
124244754;211;2019-03-15 11:30:00;2019-03-14 15:06:28
124244754;1210;2019-03-15 09:30:00;2019-03-14 15:06:28
124244754;1303;2019-03-18 16:30:00;2019-03-14 15:06:28
124244754;1114;2019-03-19 14:45:00;2019-03-14 15:06:28
124244754;1115;2019-03-18 15:45:00;2019-03-14 15:06:29
