istaigos_kodas;gydytojo_ID;laisvos_registracijos data;iraso_sukurimo_data
124244754;1212;2019-04-01 07:45:00;2019-03-26 11:11:01
124244754;1105;2019-03-27 18:30:00;2019-03-26 11:11:01
124244754;1312;2019-04-01 14:30:00;2019-03-26 11:11:02
124244754;402;2019-03-28 10:00:00;2019-03-26 11:11:03
124244754;1302;2019-04-01 15:30:00;2019-03-26 11:11:03
124244754;307;2019-04-02 16:00:00;2019-03-26 11:11:04
124244754;1208;2019-04-01 08:15:00;2019-03-26 11:11:04
124244754;1116;2019-03-27 09:00:00;2019-03-26 11:11:04
124244754;444;2019-04-01 14:45:00;2019-03-26 11:11:05
124244754;420;2019-04-05 11:30:00;2019-03-26 11:11:06
124244754;460;2019-03-28 18:00:00;2019-03-26 11:11:06
124244754;306;2019-04-04 13:30:00;2019-03-26 11:11:07
124244754;1121;2019-03-26 11:30:00;2019-03-26 11:11:10
124244754;1403;2019-04-02 17:45:00;2019-03-26 11:11:10
124244754;1119;2019-03-28 08:15:00;2019-03-26 11:11:11
124244754;411;2019-04-02 09:30:00;2019-03-26 11:11:12
124244754;410;2019-04-04 07:45:00;2019-03-26 11:11:12
124244754;1404;2019-04-11 10:00:00;2019-03-26 11:11:12
124244754;448;2019-04-02 15:00:00;2019-03-26 11:11:13
124244754;308;2019-04-02 15:15:00;2019-03-26 11:11:13
124244754;304;2019-03-28 09:00:00;2019-03-26 11:11:14
124244754;415;2019-03-28 09:45:00;2019-03-26 11:11:14
124244754;1415;2019-03-28 09:15:00;2019-03-26 11:11:14
124244754;1120;2019-03-27 09:15:00;2019-03-26 11:11:15
124244754;417;2019-04-04 09:45:00;2019-03-26 11:11:20
124244754;1601;2019-04-01 07:30:00;2019-03-26 11:11:20
124244754;404;2019-03-27 15:15:00;2019-03-26 11:11:20
124244754;1413;2019-04-03 08:45:00;2019-03-26 11:11:21
124244754;1117;2019-03-28 12:30:00;2019-03-26 11:11:21
124244754;405;2019-04-02 09:45:00;2019-03-26 11:11:21
124244754;301;2019-03-29 08:30:00;2019-03-26 11:11:22
124244754;302;2019-04-01 17:45:00;2019-03-26 11:11:22
124244754;1410;2019-03-28 18:00:00;2019-03-26 11:11:22
124244754;407;2019-04-01 16:30:00;2019-03-26 11:11:23
124244754;462;2019-04-02 08:15:00;2019-03-26 11:11:23
124244754;1409;2019-04-02 11:45:00;2019-03-26 11:11:23
124244754;1122;2019-03-27 14:30:00;2019-03-26 11:11:24
124244754;1408;2019-03-28 16:45:00;2019-03-26 11:11:24
124244754;1405;2019-03-27 08:15:00;2019-03-26 11:11:24
124244754;413;2019-04-02 09:45:00;2019-03-26 11:11:24
124244754;1205;2019-03-29 08:30:00;2019-03-26 11:11:24
124244754;414;2019-04-01 18:00:00;2019-03-26 11:11:25
124244754;1406;2019-04-04 16:45:00;2019-03-26 11:11:25
124244754;1210;2019-03-29 12:15:00;2019-03-26 11:11:25
124244754;1303;2019-03-29 08:00:00;2019-03-26 11:11:26
124244754;1114;2019-03-28 09:15:00;2019-03-26 11:11:26
124244754;1115;2019-03-29 10:15:00;2019-03-26 11:11:26
